"name","Kingdom","Phylum","Class","Order","Family","Genus","Species","mean_relative_abundance","degree","betweenness","normalized_degree","module"
"ASV_22","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Leptospora",NA,5.14261450273369e-05,3,11.5154554541699,0.00443786982248521,3
"ASV_224","Fungi","Basidiomycota","Microbotryomycetes","Sporidiobolales","Sporidiobolaceae","Rhodotorula","babjevae",0.000246680558541828,1,0,0.0014792899408284,3
"ASV_226","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Neocamarosporium","lamiacearum",0.000394962904358823,1,0,0.0014792899408284,2
"ASV_228","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces","culmigenus",0.000850309685338438,1,0,0.0014792899408284,18
"ASV_23","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Dioszegia","hungarica",0.00545573806379737,6,2599.89429753134,0.00887573964497041,2
"ASV_232","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Comoclathris",NA,0.000320969458821027,1,0,0.0014792899408284,25
"ASV_233","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Chaetosphaeronema",NA,0.000358003987449647,2,626,0.0029585798816568,6
"ASV_236","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae",NA,NA,0.000476608008109545,16,2473.75250599725,0.0236686390532544,2
"ASV_239","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae",NA,NA,0.000424719486145099,1,0,0.0014792899408284,14
"ASV_24","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Ascochyta",NA,0.0103576166225447,12,2088.67169289758,0.0177514792899408,2
"ASV_241","Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Limonomyces",NA,0.000899004003634803,2,2,0.0029585798816568,23
"ASV_244","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae",NA,NA,1.9648290447427e-05,11,1291.48072179283,0.0162721893491124,7
"ASV_245","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Septoriella","hirta",0.000459212997858586,8,1130.26630898466,0.0118343195266272,2
"ASV_247","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae",NA,NA,0.000247765293333451,1,0,0.0014792899408284,26
"ASV_25","Fungi","Basidiomycota","Tremellomycetes","Tremellales","Bulleribasidiaceae","Vishniacozyma","victoriae",0.00559128429506344,3,651.939996787662,0.00443786982248521,2
"ASV_250","Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Ceratobasidium",NA,0.000634348228582251,1,0,0.0014792899408284,2
"ASV_251","Fungi","Ascomycota",NA,NA,NA,NA,NA,4.47614034840354e-05,3,305.490991558873,0.00443786982248521,1
