"from","to","rho","p","q","edge_sign"
"ASV_57","ASV_149",0.600019200921649,0.000938331035804207,0.035870838792321,"Positive"
"ASV_111","ASV_155",0.708568015531204,3.53250782749726e-05,0.0024482724009251,"Positive"
"ASV_150","ASV_157",1,0,0,"Positive"
"ASV_35","ASV_159",0.8002304995806,5.43241576611564e-07,7.10936547391713e-05,"Positive"
"ASV_62","ASV_159",0.706541773680277,3.8048701537452e-05,0.00262650072680959,"Positive"
"ASV_75","ASV_159",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_110","ASV_159",1,0,0,"Positive"
"ASV_127","ASV_159",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_117","ASV_161",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_150","ASV_161",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_157","ASV_161",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_29","ASV_166",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_49","ASV_166",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_60","ASV_166",1,0,0,"Positive"
"ASV_9","ASV_172",0.619324434363904,0.000571910617922944,0.0254465240102109,"Positive"
"ASV_62","ASV_174",0.659744408945687,0.000181298398513885,0.00825673952144402,"Positive"
"ASV_105","ASV_174",0.680511182108626,9.38478710152957e-05,0.00641899929649682,"Positive"
"ASV_110","ASV_174",0.673932153356572,0.00011625979537655,0.00699625213424714,"Positive"
"ASV_159","ASV_174",0.673932153356572,0.00011625979537655,0.00699625213424714,"Positive"
"ASV_84","ASV_181",0.600019200921649,0.000938331035804207,0.035870838792321,"Positive"
"ASV_36","ASV_183",0.646432269726453,0.000269528194802637,0.012178603062068,"Positive"
"ASV_7","ASV_193",-0.608629929840628,0.000755349682502349,0.0331284720477498,"Negative"
"ASV_37","ASV_195",1,0,0,"Positive"
"ASV_49","ASV_195",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_90","ASV_196",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_70","ASV_203",0.650704246688043,0.000237811713959868,0.0108020059969847,"Positive"
"ASV_150","ASV_211",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_157","ASV_211",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_131","ASV_217",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_36","ASV_218",0.620742657997566,0.00055077932847869,0.0245656290582856,"Positive"
"ASV_48","ASV_220",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_131","ASV_220",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_8","ASV_222",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_65","ASV_222",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_75","ASV_222",1,0,0,"Positive"
"ASV_110","ASV_222",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_127","ASV_222",1,0,0,"Positive"
"ASV_137","ASV_222",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_159","ASV_222",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_161","ASV_224",0.668218197578152,0.000139432194518285,0.00699625213424714,"Positive"
"ASV_211","ASV_224",0.640458391150573,0.000320088686899478,0.0143972713920697,"Positive"
"ASV_140","ASV_227",-0.620017143960129,0.000561502615875842,0.024991477780615,"Negative"
"ASV_24","ASV_233",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_134","ASV_233",1,0,0,"Positive"
"ASV_65","ASV_235",0.673932153356572,0.00011625979537655,0.00699625213424714,"Positive"
"ASV_8","ASV_237",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_31","ASV_237",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
"ASV_84","ASV_237",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_104","ASV_237",1,0,0,"Positive"
"ASV_42","ASV_239",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_226","ASV_239",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_100","ASV_240",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_122","ASV_240",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_24","ASV_242",0.665147715805747,0.000153494525760411,0.00699625213424714,"Positive"
"ASV_32","ASV_242",0.720576692122892,2.24538803994534e-05,0.00156051363512379,"Positive"
