"from","to","rho","p","q","edge_sign"
"ASV_73","ASV_121",0.662238275688914,0.00042293814747163,0.0405018915649716,"Positive"
"ASV_90","ASV_121",0.689412055997956,0.000194190112614567,0.0274239857439897,"Positive"
"ASV_73","ASV_128",0.653831688422693,0.000529884518023049,0.0467481771061701,"Positive"
"ASV_31","ASV_129",0.652113060889325,0.000554415741313763,0.0487502765497631,"Positive"
"ASV_32","ASV_132",-0.722674651620435,6.6475905432295e-05,0.0100480105982096,"Negative"
"ASV_8","ASV_134",0.667509222313003,0.000365889805590047,0.0405018915649716,"Positive"
"ASV_24","ASV_134",0.77815116190187,7.58370628428651e-06,0.00255156572461509,"Positive"
"ASV_60","ASV_134",0.686895715007971,0.000209415811953217,0.0294896627150863,"Positive"
"ASV_73","ASV_134",0.770318809385474,1.06755952637982e-05,0.00355924635394353,"Positive"
"ASV_90","ASV_134",0.675739618274672,0.000290145520484231,0.0398967443866803,"Positive"
"ASV_110","ASV_134",0.786538461538462,5.17799710575417e-06,0.00176279365436911,"Positive"
"ASV_121","ASV_134",0.722073662676843,6.7865740988271e-05,0.0101230617499654,"Positive"
"ASV_8","ASV_135",0.704823816066223,0.000120297952812543,0.0174459854906213,"Positive"
"ASV_38","ASV_135",0.657702129498916,0.000478050341798708,0.0424029915443445,"Positive"
"ASV_60","ASV_135",0.668017563019897,0.000360758896750024,0.0405018915649716,"Positive"
"ASV_90","ASV_135",0.663585642047209,0.000407667937155409,0.0405018915649716,"Positive"
"ASV_121","ASV_135",0.755062275777036,2.00383842727803e-05,0.00622010566357549,"Positive"
"ASV_92","ASV_139",0.722315118514615,6.73043204786339e-05,0.0100480105982096,"Positive"
"ASV_27","ASV_142",-0.655971479500891,0.000500658005165633,0.0443057282400426,"Negative"
"ASV_60","ASV_142",0.690730837789661,0.000186603011524955,0.0264065849690413,"Positive"
"ASV_121","ASV_142",0.741532976827095,3.37727448678216e-05,0.0100480105982096,"Positive"
"ASV_135","ASV_142",0.674090449956442,0.000304122231655324,0.0405018915649716,"Positive"
"ASV_53","ASV_155",0.678961971425873,0.000264439487634771,0.0365669354442119,"Positive"
"ASV_6","ASV_156",0.704347826086957,0.000122144330517715,0.0177063070802824,"Positive"
"ASV_16","ASV_158",0.685792460710019,0.000216412665804189,0.0304376647604248,"Positive"
"ASV_44","ASV_158",0.721460125457849,6.93108336529136e-05,0.0103252184223378,"Positive"
"ASV_74","ASV_165",0.659505108208996,0.000455442957357111,0.0405018915649716,"Positive"
