"ASV","KS_LFC","KS_p","KS_padj","SD_LFC","SD_p","SD_padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","Category"
"ASV_842",2.94573195951263,0.32078838191372,0.486000128665474,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiaceae","g__Articulospora","s__proliferata","Other"
"ASV_844",1.35535718709613,0.647728329212293,0.740727106958138,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__","s__","Other"
"ASV_847",-0.784967473138427,0.791354715988027,0.865722990502564,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Bhatiellae","s__rosae","Other"
"ASV_849",3.16500488128039,0.158515566785568,0.283330973703338,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__","Other"
"ASV_863",-0.103403427591149,0.972270567704287,0.988138922167279,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae","Other"
"ASV_871",9.23930211898006,2.91451602456477e-08,1.97491085843643e-07,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Phaeosphaeria","s__","Other"
"ASV_885",1.53718009455596,0.604653865490671,0.713020402422765,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__","o__","f__","g__","s__","Other"
"ASV_890",3.33516456566103,0.248853471662205,0.415365721083239,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__dimennae","Other"
"ASV_894",8.88618028375032,0.00275541040203348,0.00812309300339741,NA,NA,NA,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Polyporaceae","g__Trametes","s__cubensis","Other"
"ASV_917",0.252121228769932,0.932225922079506,0.959706504816543,NA,NA,NA,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Septoriella","s__phragmitis","Other"
